name,country,latitude,longitude,suburb,property_type,room_type,bed_type,price,number_of_reviews,rating,occupancy_30,occupancy_60,occupancy_90,occupancy_365
The Porto Concierge -  Lodeiro Country House,Portugal,41.1222,-8.44398,Porto,House,Entire home/apt,Real Bed,300.0,10,7.0,0.0,0.0,0.0,0.5506849315068494
Complete Kitchen Remodel in this 1bd/1ba garden view condo in South Kihei at the Kihei Akahi. D-208,United States,20.71513,-156.44543,Maui,Condominium,Entire home/apt,Real Bed,239.0,2,10.0,0.9333333333333332,0.9333333333333332,0.6222222222222222,0.4602739726027397
Beautiful Apartment near Bondi Junction,Australia,-33.88909,151.24043,Woollahra,Apartment,Private room,Real Bed,50.0,1,8.0,1.0,1.0,1.0,1.0
"Waipio Valley Nanea, Private Deck & Ocean Views",United States,20.11881,-155.58451,Island of Hawaiʻi,Guest suite,Entire home/apt,Real Bed,155.0,50,10.0,0.5666666666666667,0.2833333333333333,0.2111111111111111,0.0684931506849315
Cozy and convenient home near Time Square HK,Hong Kong,22.27966,114.18369,Wan Chai District,Apartment,Entire home/apt,Real Bed,1499.0,47,9.0,0.8,0.6833333333333333,0.4555555555555556,0.6191780821917808
Family Outdoor Hammock Camping Cabana,United States,19.86094,-155.10658,Island of Hawaiʻi,Hut,Private room,Real Bed,68.0,4,10.0,0.6666666666666667,0.4166666666666666,0.3666666666666667,0.1342465753424657
"GIANT! Perfect for families, in the center of NYC",United States,40.75463,-73.97062,Midtown,Apartment,Entire home/apt,Real Bed,399.0,33,9.0,0.6333333333333333,0.8,0.8666666666666667,0.8684931506849315
Suíte na Barra-Jeunesse,Brazil,-22.968553576373854,-43.38685995636604,Barra da Tijuca,Boutique hotel,Private room,Real Bed,86.0,3,10.0,0.0,0.4499999999999999,0.6333333333333333,0.9095890410958904
CL Ildefonso I Apartment,Portugal,41.1459,-8.60232,Porto,Apartment,Entire home/apt,Real Bed,75.0,39,10.0,0.3,0.15,0.1333333333333333,0.0520547945205479
Cosy Studio / pool / barbecue / sunny lounge,Portugal,41.18382,-8.60968,Porto,Apartment,Entire home/apt,Real Bed,60.0,25,9.0,0.0,0.0,0.0333333333333333,0.0383561643835616
Habitación en Villa Olímpica,Spain,41.39356,2.1966,Sant Martí,Apartment,Private room,Real Bed,30.0,92,10.0,0.8,0.75,0.7666666666666666,0.8164383561643835
Liiiving in Porto | Foz Terrace Studio,Portugal,41.16195,-8.67971,Porto,Apartment,Entire home/apt,Real Bed,100.0,4,10.0,0.2333333333333332,0.1166666666666667,0.0777777777777777,0.0465753424657534
